表16-3-2(099年度)綜稅各類所得金額二十分位申報統計表,單位：金額(千元),製表日期：101年12月27日
分位別,納稅單位,納稅單位,各類所得金額合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
第一分位,275967,12773155,1090717,399331,4329205,2202797,452932,126820,48331,3784085,4737,190796,15371,128032,996,8432220,273452
第二分位,275967,39703268,2622841,1063129,21811240,4279348,1798756,332582,70532,6774916,25783,459987,34876,429279,5022582,22910229,254549
第三分位,275967,59523266,1999228,936376,45166302,3575856,1622987,268171,56248,5004099,34808,430055,27001,402136,21437511,35790987,180762
第四分位,275967,72465785,1837995,911714,58576837,3732012,1525470,250939,61135,4663292,36843,489455,21105,358989,32937340,46823099,160011
第五分位,275967,84117803,1921879,952124,69283918,4122841,1592629,268192,75832,4850704,41117,604463,27187,376917,42697272,57528619,159656
第六分位,275967,95582027,2018840,998776,79882162,4412922,1692831,304087,82367,5045305,41051,724248,19599,359839,52330567,68027816,142559
第七分位,275967,107172213,2188897,1097855,89824851,4968304,1834313,326035,92041,5515389,51952,859184,28912,384480,61346699,78688867,173949
第八分位,275967,119292892,2386032,1217890,100155148,5414186,2099724,358547,109638,6041986,57038,1007905,31688,413108,70371450,89506421,182282
第九分位,275967,132165470,2591012,1335684,111184273,6062989,2178525,383286,124655,6660570,65347,1140474,23333,415322,80233288,101210984,165632
第十分位,275967,145780321,2856931,1437595,122364696,6955404,2355967,423351,137892,7430444,72534,1264226,27521,453760,90119065,113531223,178658
第十一分位,275967,160711930,3185361,1660094,134061139,7995667,2666660,476485,152655,8471901,84744,1468322,31845,457056,100522929,127169607,192922
第十二分位,275967,177678789,3531563,1908670,147458881,8791725,3049415,569367,167836,9968746,88472,1611075,29839,503201,112239376,142454546,203038
第十三分位,275967,197387111,3923848,2133962,162809015,9806320,3526648,632338,197078,11789386,111062,1871683,40459,545311,125752064,160323983,234699
第十四分位,275966,221026951,4373306,2601890,180514067,11653944,3988672,709046,222512,13962221,138976,2205400,46434,610483,141810585,182314217,267173
第十五分位,275966,249781664,4720022,3004615,203139449,13484319,4622430,814700,243490,16351541,157714,2487436,47661,708287,163178274,209814024,286251
第十六分位,275966,285238832,5236969,3684042,233049156,12881669,5432551,957518,287994,19748644,182895,2919600,70251,787544,191435765,243613533,362207
第十七分位,275966,331751572,5876201,4746882,270014766,13540911,6578507,1126003,337792,24703229,252004,3538498,85126,951653,226801795,288524096,463171
第十八分位,275966,399543341,6976268,6863008,318866089,15665992,8538030,1447898,417948,34425044,345345,4605809,109436,1282474,273659676,354326166,639292
第十九分位,275966,518553725,8838169,11141539,402454174,18884278,12023381,1999508,557497,53255732,564646,6647855,171643,2015305,355944549,472029760,1000521
第二十分位,275966,1191835926,18975465,38671825,696357458,27939834,31097313,6078477,868994,331043817,3775809,26920338,532759,9573837,649994123,1145515769,2530626
合計,5519333,4602086043,87151543,86767000,3451302826,186371319,98677741,17853351,4312469,579491053,6132875,61446810,1422045,21157012,2797835907,3948536164,8051410
